x,y,z,r,c
6.18401,6.91592,3.38286,0.548302,0
5.48913,6.36532,3.88272,0.0418201,1
6.85088,4.4829,8.02965,1.10249,1
3.92805,7.07896,9.67782,0.226642,1
9.64551,4.57867,5.66197,0.335213,1
4.04045,7.82661,3.87378,0.299378,0
3.90753,5.46345,6.15573,0.520137,1
2.76485,2.04872,3.78403,0.712888,1
6.63444,5.02271,6.70823,0.176005,1
3.83002,1.43143,5.25347,0.275572,1
7.51185,2.15421,5.12525,0.190113,1
5.77833,1.20686,7.07435,0.0432704,1
4.28971,1.17298,5.30675,0.313586,1
4.93966,1.01183,5.05591,0.539177,0
